,serviceCharge,heatingType,newlyConst,balcony,picturecount,totalRent,yearConstructed,noParkSpaces,firingTypes,hasKitchen,cellar,yearConstructedRange,baseRent,livingSpace,condition,interiorQual,petsAllowed,lift,typeOfFlat,geo_plz,noRooms,thermalChar,floor,numberOfFloors,noRoomsRange,garden,regio3,facilities,heatingCosts,energyEfficiencyClass,lastRefurbish
253,,,False,False,10,,1957.0,,gas,False,False,2.0,1444.0,58.0,well_kept,,no,False,apartment,50670,2.0,163.0,4.0,5.0,2,False,Altstadt_&_Neustadt_Nord,"zeitlose Möblierung, Laminatboden, separate Einbauküche mit Spülmaschine und Mikrowelle, Duschbad, Kabel-TV, WLAN-Internetanschluss, Waschmaschine und Trockner",,,
336,200.0,floor_heating,True,True,11,1500.0,2019.0,,environmental_thermal_energy,False,True,9.0,1300.0,120.0,first_time_use,sophisticated,,False,maisonette,51069,3.0,,1.0,2.0,3,False,Dellbrück,"Bodentiefe Fenster, Fussbodenheizung, Fensterbad mit Wanne und Dusche
Grosse geräumige Küche, 2 Parteienhaus Edelstahlgitter, Granittreppe,
Elektr. Rolläden, Gegensprechanlage

",,,
352,110.0,central_heating,False,False,4,608.0,,1.0,district_heating,True,True,,443.0,29.0,well_kept,normal,negotiable,True,apartment,50939,1.0,98.0,2.0,4.0,1,False,Sülz,,,,
524,274.8,central_heating,False,True,16,1470.8,2001.0,,combined_heat_and_power_regenerative_energy,False,False,6.0,1196.0,92.0,well_kept,sophisticated,no,True,ground_floor,50667,2.0,118.6,1.0,6.0,2,False,Altstadt_&_Neustadt_Nord,"Die Wohnung ist modern ausgestattet. 

Das Wohn- und Schlafzimmer sind mit einem Echtholzparkettboden ausgestattet. 

Im Schlafzimmer befindet sich ein Ankleidebereich. Das geräumige Wohnzimmer wurde von den jetztigen Mietern geteilt, so dass ein zusätzlicher Schlaf- oder auch Arbeitsraum entstanden ist. 

Die offene Küche ist hell gefliest. Die vorhandene Einbauküche kann vom Vormieter gegen eine Abstandszahlung übernommen werden. 

Zur Wohnung gehört ein Hauswirtschaftsraum, ein Abstellraum und eine Terrasse.",,,
590,135.0,central_heating,False,True,10,950.0,1985.0,0.0,gas,False,False,4.0,730.0,75.01,well_kept,,,False,apartment,50859,2.0,,1.0,,2,False,Lövenich,,85.0,,
703,150.0,gas_heating,False,True,12,1150.0,1935.0,,gas,False,True,1.0,1000.0,100.0,need_of_renovation,normal,yes,False,other,51107,4.5,,,,4,True,Rath/Heumar,"Garten, Terrasse",,,
828,170.0,central_heating,False,True,10,1770.0,1957.0,,gas,False,True,2.0,1500.0,100.35,modernized,sophisticated,no,False,apartment,50933,4.0,189.1,1.0,3.0,4,False,Braunsfeld,"Der ideal aufgeteilte Grundriss der Wohnung mit einem außergewöhnlich großen Wohn-/Eßbereich, welcher ggf. in ein sep Zimmer abgeteilt werden kann, breiter Fensterfront, 2 Schlafzimmern und 2 Balkonen bietet den neuen Bewohnern ausreichend Platz zum Wohlfühlen. Die Wohnung wird in den nächsten Wochen komplett modernisiert und als Innenerstbezug mit hervorragender Ausstattung neu vermietet. (neue Elektrik, Wannenbad -ohne Fenster-, Parkettboden)
Das Eßzimmer ist derzeit Durchgangszimmer zum Wohnbereich.",100.0,,2020.0
966,50.0,central_heating,False,False,12,740.0,,,,True,False,,690.0,17.0,modernized,sophisticated,no,False,apartment,50667,1.0,,1.0,5.0,1,False,Altstadt_&_Neustadt_Süd,"Die Wohnung selbst befindet sich in der 1. Etage. Alle Zimmer (bis auf die zwei Badezimmer) sind mit schönem Parkett versehen. 
Die Küche ist maßgefertigt, fully equipped und mit High-End Elektrogeräten ausgestattet. Hier steht Dir alles zur Verfügung, was Du für die Zubereitung kulinarischer Kreationen benötigst.
Die Badezimmer sind modern und hell gestaltet und verfügen über jeweils eine Dusche und WC. Natürlich findest Du hier auch eine praktische Waschtrockner-Kombination, sodass Dir mehr Zeit für die schönen Dinge bleibt… :)
In Deinem Zimmer steht ein gemütliches Boxspringbett (140 x 200 cm) bereit. Darüber hinaus gehören sowohl ein großzügiger Spiegelschrank als auch ein 40 Zoll Smart-TV zu Deiner Einrichtung. Netflix Abenden steht also nichts im Wege… :)
Highspeed Internet ist selbstverständlich vorhanden.
Dank dem wöchentlichen Cleaningservice gehören Putzpläne der Vergangenheit an. Genießt stattdessen lieber entspannte Momente in Eurer Community.",,,2019.0
1024,300.0,self_contained_central_heating,False,True,12,1600.0,1972.0,,district_heating,True,True,3.0,1300.0,102.0,fully_renovated,sophisticated,no,True,apartment,50668,3.0,95.0,13.0,14.0,3,False,Altstadt_&_Neustadt_Nord,"Holzfußböden, Duschbad mit Anschlüssen für Waschmaschine & Trockner (mittlerweile weiß gekachelt) , Gästetoilette, Abstellkammer, 2 Schlafzimmer, großes Wohn-, Esszimmer, Balkon.",,,
1063,120.0,self_contained_central_heating,False,False,13,1170.0,,,gas,False,True,,1050.0,84.0,first_time_use_after_refurbishment,normal,no,False,roof_storey,50823,3.0,,5.0,5.0,3,False,Ehrenfeld,"Die Ausstattung der Wohnungen ist neuwertig. Es handelt sich um Erstbezug nach Sanierung und Dachausbau. 
Hinter dem Haus befindet sich noch ein kleiner Garten, der von allen Mietparteien genutzt werden kann. Alle Wohnungen haben Kabelanschluss u. Türsprechanlagen, Vorrat- oder Haushaltsraum im Treppenhaus, separater Keller .",,,2018.0
1275,95.0,central_heating,False,True,9,625.0,1992.0,1.0,gas,True,True,5.0,530.0,39.0,well_kept,normal,no,True,apartment,50858,1.0,,1.0,5.0,1,False,Weiden,"- helles, modernes Wannenbad mit Waschmaschinenanschluss
- Wohn-Schlafbereich mit angrenzendem Balkon
- kleine Einbauküche (nagelneu!!!) 
- pflegeleichter, moderner Fußbodenbelag
- Isolierverglaste Fenster in Holzrahmen
- weiße Zimmertüren
- Gegensprechanlage
- Kellerabteil
- Tiefgarageneinstellplatz",,,2019.0
1465,150.0,self_contained_central_heating,False,False,12,,1912.0,,gas,False,True,1.0,2072.0,148.0,first_time_use_after_refurbishment,,,False,roof_storey,50933,3.0,115.39,2.0,,3,False,Braunsfeld,Eine Symbiose aus Altbaucharme und moderner Ausstattung bildet eine zeitlose Eleganz und verschafft einen einzigartigen Wohlfühlkomfort. Hohe Decken mit Stuck und die Auswahl hochwertiger Materialien werden Sie hier begeistern. Das Badezimmer und das Gäste-WC wurden mit hellen Fliesen versehen und harmonieren perfekt zu den farblich abgestimmten Bordüren-Fliesen. Die Küche verfügt über graue Bodenfliesen in schlichter moderner Optik. Die komplette Einheit wurde mit einem neuen Fischgrätparkett in Eiche verlegt - außer das rückwärtige Schlafzimmer. Letzteres wurden neuesten Techniken eingearbeitet wie eine Gegensprechanlage mit hochwertigem Videosystem sowie eine Dimmfunktion sämtlicher Lichtschalter.,,D,2019.0
2223,340.0,,False,True,7,1728.0,,1.0,gas,False,True,,1288.0,104.0,modernized,sophisticated,negotiable,False,roof_storey,50933,3.0,,2.0,2.0,3,False,Müngersdorf,,,NO_INFORMATION,2018.0
